task_id,source_6154_model,source_6029_model,onnx_load_6154,onnx_load_6029,file_size_6154,file_size_6029,node_count_6154,node_count_6029,initializer_count_6154,initializer_count_6029,parameter_bytes_6154,parameter_bytes_6029,memory_footprint_proxy_6154,memory_footprint_proxy_6029,estimated_cost_6154,estimated_cost_6029,estimated_utility_6154,estimated_utility_6029,delta_memory,delta_cost,delta_utility,banned_ops_6154,banned_ops_6029,risk,recommendation,recommended_action,source_id
task025,E:\kagglegolf\submissions\candidates\GOLF_20260607_001_public_6154_repro\onnx\task025.onnx,E:\kagglegolf\data\external\public_bundles\jsrdcht_6029_submission_bundle\extracted\task025.onnx,True,True,13460,826752,127,7449,28,3742,382,267372,140410,12050352,140475,12115545,13.147215,8.690000,11909942,11975070,-4.457215,,,high,high_risk_boundary_or_unknown,probe_bottom15_structural_difference,SRC_KAGGLE_NOTEBOOK_JSRDCHT_6029
task026,E:\kagglegolf\submissions\candidates\GOLF_20260607_001_public_6154_repro\onnx\task026.onnx,E:\kagglegolf\data\external\public_bundles\jsrdcht_6029_submission_bundle\extracted\task026.onnx,True,True,1622,1622,11,11,8,8,264,264,1404,1404,1452,1452,17.719303,17.719303,0,0,0.000000,,,medium,hold,keep_6154,SRC_KAGGLE_NOTEBOOK_JSRDCHT_6029
task027,E:\kagglegolf\submissions\candidates\GOLF_20260607_001_public_6154_repro\onnx\task027.onnx,E:\kagglegolf\data\external\public_bundles\jsrdcht_6029_submission_bundle\extracted\task027.onnx,True,True,31135,31135,22,22,13,13,28936,28936,77913,77913,85131,85131,13.648053,13.648053,0,0,0.000000,,,medium,hold,keep_6154,SRC_KAGGLE_NOTEBOOK_JSRDCHT_6029
task028,E:\kagglegolf\submissions\candidates\GOLF_20260607_001_public_6154_repro\onnx\task028.onnx,E:\kagglegolf\data\external\public_bundles\jsrdcht_6029_submission_bundle\extracted\task028.onnx,True,True,2452,51218,11,10,13,6,1344,50440,17096,230600,17414,243210,15.234970,12.598319,213504,225796,-2.636651,,,medium,hold,keep_6154,SRC_KAGGLE_NOTEBOOK_JSRDCHT_6029
task029,E:\kagglegolf\submissions\candidates\GOLF_20260607_001_public_6154_repro\onnx\task029.onnx,E:\kagglegolf\data\external\public_bundles\jsrdcht_6029_submission_bundle\extracted\task029.onnx,True,True,13589,13589,88,88,15,15,808,808,97755,99015,97925,99185,13.508043,13.495258,1260,1260,-0.012785,,,medium,hold,keep_6154,SRC_KAGGLE_NOTEBOOK_JSRDCHT_6029
task030,E:\kagglegolf\submissions\candidates\GOLF_20260607_001_public_6154_repro\onnx\task030.onnx,E:\kagglegolf\data\external\public_bundles\jsrdcht_6029_submission_bundle\extracted\task030.onnx,True,True,9441,9441,56,56,13,13,4196,4196,53498,53768,54473,54743,14.094540,14.089595,270,270,-0.004944,,,medium,hold,keep_6154,SRC_KAGGLE_NOTEBOOK_JSRDCHT_6029
task031,E:\kagglegolf\submissions\candidates\GOLF_20260607_001_public_6154_repro\onnx\task031.onnx,E:\kagglegolf\data\external\public_bundles\jsrdcht_6029_submission_bundle\extracted\task031.onnx,True,True,3417,3417,26,26,13,13,412,412,18970,19042,19028,19100,15.146333,15.142556,72,72,-0.003777,,,medium,hold,keep_6154,SRC_KAGGLE_NOTEBOOK_JSRDCHT_6029
task032,E:\kagglegolf\submissions\candidates\GOLF_20260607_001_public_6154_repro\onnx\task032.onnx,E:\kagglegolf\data\external\public_bundles\jsrdcht_6029_submission_bundle\extracted\task032.onnx,True,True,2347,2347,19,19,10,10,340,340,3676,3676,3745,3745,16.771823,16.771823,0,0,0.000000,,,medium,hold,keep_6154,SRC_KAGGLE_NOTEBOOK_JSRDCHT_6029
task033,E:\kagglegolf\submissions\candidates\GOLF_20260607_001_public_6154_repro\onnx\task033.onnx,E:\kagglegolf\data\external\public_bundles\jsrdcht_6029_submission_bundle\extracted\task033.onnx,True,True,1510,1510,16,16,6,6,320,320,55432,55432,55481,55481,14.076204,14.076204,0,0,0.000000,,,medium,hold,keep_6154,SRC_KAGGLE_NOTEBOOK_JSRDCHT_6029
task034,E:\kagglegolf\submissions\candidates\GOLF_20260607_001_public_6154_repro\onnx\task034.onnx,E:\kagglegolf\data\external\public_bundles\jsrdcht_6029_submission_bundle\extracted\task034.onnx,True,True,11293,11293,87,87,16,16,4854,4854,108803,108803,111650,111650,13.376876,13.376876,0,0,0.000000,,,medium,hold,keep_6154,SRC_KAGGLE_NOTEBOOK_JSRDCHT_6029
task035,E:\kagglegolf\submissions\candidates\GOLF_20260607_001_public_6154_repro\onnx\task035.onnx,E:\kagglegolf\data\external\public_bundles\jsrdcht_6029_submission_bundle\extracted\task035.onnx,True,True,12860,12869,104,104,31,32,1124,1164,37400,40640,37615,40865,14.464842,14.381971,3240,3250,-0.082871,,,medium,hold,keep_6154,SRC_KAGGLE_NOTEBOOK_JSRDCHT_6029
task036,E:\kagglegolf\submissions\candidates\GOLF_20260607_001_public_6154_repro\onnx\task036.onnx,E:\kagglegolf\data\external\public_bundles\jsrdcht_6029_submission_bundle\extracted\task036.onnx,True,True,5866,5866,56,56,17,17,1140,1140,80972,80972,81131,81131,13.696180,13.696180,0,0,0.000000,,,medium,hold,keep_6154,SRC_KAGGLE_NOTEBOOK_JSRDCHT_6029
task037,E:\kagglegolf\submissions\candidates\GOLF_20260607_001_public_6154_repro\onnx\task037.onnx,E:\kagglegolf\data\external\public_bundles\jsrdcht_6029_submission_bundle\extracted\task037.onnx,True,True,20424,20424,27,27,13,13,16760,16760,72160,72160,80486,80486,13.704161,13.704161,0,0,0.000000,,,medium,hold,keep_6154,SRC_KAGGLE_NOTEBOOK_JSRDCHT_6029
task038,E:\kagglegolf\submissions\candidates\GOLF_20260607_001_public_6154_repro\onnx\task038.onnx,E:\kagglegolf\data\external\public_bundles\jsrdcht_6029_submission_bundle\extracted\task038.onnx,True,True,2357,2357,16,16,13,13,416,416,2532,2532,2609,2609,17.133278,17.133278,0,0,0.000000,,,medium,hold,keep_6154,SRC_KAGGLE_NOTEBOOK_JSRDCHT_6029
task039,E:\kagglegolf\submissions\candidates\GOLF_20260607_001_public_6154_repro\onnx\task039.onnx,E:\kagglegolf\data\external\public_bundles\jsrdcht_6029_submission_bundle\extracted\task039.onnx,True,True,1913,1913,14,14,9,9,220,220,7964,8024,7992,8052,16.013804,16.006324,60,60,-0.007479,,,medium,hold,keep_6154,SRC_KAGGLE_NOTEBOOK_JSRDCHT_6029
task040,E:\kagglegolf\submissions\candidates\GOLF_20260607_001_public_6154_repro\onnx\task040.onnx,E:\kagglegolf\data\external\public_bundles\jsrdcht_6029_submission_bundle\extracted\task040.onnx,True,True,4167,4104,36,36,20,20,308,308,8114,11314,8176,11376,15.991042,15.660739,3200,3200,-0.330303,,,medium,hold,keep_6154,SRC_KAGGLE_NOTEBOOK_JSRDCHT_6029
