task_id,arc_id,solver_name,solver_exists,solver_lines,dsl_call_count,dsl_primitives,train_pass,train_total,test_pass,test_total,arc_gen_pass,arc_gen_total,official_pass,all_examples_pass,current_node_count,current_memory_proxy,current_cost_proxy,current_utility_proxy,compile_priority,errors
task080,39e1d7f9,solve_39e1d7f9,true,32,30,"add,apply,argmax,asobject,chain,color,colorfilter,crop,decrement,fgpartition,increment,last,lbind,mapply,mostcolor,multiply,objects,order,paint,power,rbind,remove,shape,subtract,ulcorner",3,3,1,1,212,262,true,false,123,42819,43036,14.330208,0.35565974179046,arc-gen[1]:output_mismatch;arc-gen[2]:output_mismatch;arc-gen[3]:output_mismatch;arc-gen[13]:output_mismatch;arc-gen[19]:output_mismatch;arc-gen[29]:output_mismatch;arc-gen[33]:output_mismatch;arc-gen[35]:output_mismatch
task033,1e32b0e9,solve_1e32b0e9,true,33,31,"apply,asobject,astuple,compose,crop,difference,divide,extract,first,height,initset,interval,lbind,mapply,matcher,mostcolor,palette,papply,partition,product,subtract,totuple,underfill",3,3,1,1,261,261,true,true,16,55432,55481,14.076204,0.3523805128638602,
task157,6a1e5592,solve_6a1e5592,true,35,33,"apply,asindices,astuple,chain,colorfilter,compose,cover,crop,fill,fork,lbind,mapply,merge,objects,ofcolor,rbind,width",2,2,1,1,90,262,true,false,3232,80351,81002,13.697771,0.3424917916578113,arc-gen[0]:output_mismatch;arc-gen[1]:output_mismatch;arc-gen[2]:output_mismatch;arc-gen[3]:output_mismatch;arc-gen[5]:output_mismatch;arc-gen[6]:output_mismatch;arc-gen[7]:output_mismatch;arc-gen[8]:output_mismatch
task324,d07ae81c,solve_d07ae81c,true,34,32,"apply,branch,center,color,compose,difference,equality,fill,first,fork,intersection,last,mapply,mostcolor,neighbors,objects,ofcolor,other,rbind,sizefilter,toobject",3,3,1,1,259,262,true,false,52,50836,52508,14.131279,0.3396475255601031,arc-gen[96]:output_mismatch;arc-gen[116]:output_mismatch;arc-gen[208]:output_mismatch
task268,aba27056,solve_aba27056,true,32,30,"apply,box,chain,compose,corners,delta,difference,fill,fork,interval,lbind,mapply,matcher,objects,ofcolor,position,product,rbind,sfilter",3,3,1,1,174,262,true,false,180,22928,23026,14.955621,0.3348126430411203,arc-gen[1]:output_mismatch;arc-gen[7]:output_mismatch;arc-gen[11]:output_mismatch;arc-gen[15]:output_mismatch;arc-gen[17]:output_mismatch;arc-gen[19]:output_mismatch;arc-gen[20]:output_mismatch;arc-gen[23]:output_mismatch
task058,28e73c20,solve_28e73c20,true,33,31,"astuple,branch,canvas,chain,compose,even,fill,fork,hupscale,initset,insert,lbind,power,rbind,subtract,upscale,vupscale,width,x30",5,5,1,1,16,16,true,true,16,22649,29075,14.722366,0.3315365799157053,
task235,995c5fa3,solve_995c5fa3,true,25,23,"apply,astuple,chain,compose,fork,hsplit,hupscale,matcher,merge,power,rbind",4,4,1,1,64,64,true,true,35,1722,1836,17.484655,0.3267541117904537,
task163,6d0160f0,solve_6d0160f0,true,34,32,"asindices,astuple,branch,crop,first,greater,initset,insert,last,lbind,mapply,multiply,ofcolor,paint,product,recolor,replace,shift,toobject",4,4,1,1,262,262,true,true,68,27466,29111,14.721129,0.32121473089393243,
task390,f8a8fe49,solve_f8a8fe49,true,34,32,"apply,branch,colorfilter,compose,double,first,increment,invert,last,objects,ofcolor,paint,portrait,replace,shift,subgrid,trim,ulcorner,x21,x25,x6,x7",3,3,1,1,127,262,true,false,43,25880,26847,14.802091,0.31868466755784275,arc-gen[1]:output_mismatch;arc-gen[2]:output_mismatch;arc-gen[4]:output_mismatch;arc-gen[5]:output_mismatch;arc-gen[7]:output_mismatch;arc-gen[9]:output_mismatch;arc-gen[11]:output_mismatch;arc-gen[13]:output_mismatch
task328,d22278a0,solve_d22278a0,true,37,35,"asindices,chain,compose,fork,lbind,mapply,objects,paint,rbind",4,4,1,1,262,262,true,true,102,68333,69459,13.851508,0.31852834084055165,
task119,508bd3b6,solve_508bd3b6,true,34,32,"add,argmax,argmin,branch,connect,double,equality,extract,fill,first,flip,index,last,multiply,objects,paint,rbind,subtract,ulcorner,urcorner,width",3,3,1,1,261,262,true,false,140,16763,16863,15.267123,0.30415241098969326,arc-gen[222]:output_mismatch
