task_id,best_model_path,source_id,method,local_correct,local_cost,lb_delta_if_known,last_changed_exp_id,status,notes
task035,E:\kagglegolf\submissions\candidates\GOLF_20260607_001_public_6154_repro\onnx\task035.onnx,SRC_KAGGLE_NOTEBOOK_OCTAVIO_6154,public_6154_baseline,true,12860,0.000000,GOLF_20260607_001_public_6154_repro,confirmed_baseline,Restored after GOLF_20260608_006_biohack_super_blend_structural_pass_mix produced bundle_tie without task-level attribution.
task036,E:\kagglegolf\submissions\candidates\GOLF_20260607_001_public_6154_repro\onnx\task036.onnx,SRC_KAGGLE_NOTEBOOK_OCTAVIO_6154,public_6154_baseline,true,5866,0.000000,GOLF_20260607_001_public_6154_repro,confirmed_baseline,Restored after GOLF_20260608_006_biohack_super_blend_structural_pass_mix produced bundle_tie without task-level attribution.
task037,E:\kagglegolf\submissions\candidates\GOLF_20260607_001_public_6154_repro\onnx\task037.onnx,SRC_KAGGLE_NOTEBOOK_OCTAVIO_6154,public_6154_baseline,true,20424,0.000000,GOLF_20260607_001_public_6154_repro,confirmed_baseline,Restored after GOLF_20260608_006_biohack_super_blend_structural_pass_mix produced bundle_tie without task-level attribution.
task038,E:\kagglegolf\submissions\candidates\GOLF_20260607_001_public_6154_repro\onnx\task038.onnx,SRC_KAGGLE_NOTEBOOK_OCTAVIO_6154,public_6154_baseline,true,2357,0.000000,GOLF_20260607_001_public_6154_repro,confirmed_baseline,Restored after GOLF_20260608_006_biohack_super_blend_structural_pass_mix produced bundle_tie without task-level attribution.
task039,E:\kagglegolf\submissions\candidates\GOLF_20260607_001_public_6154_repro\onnx\task039.onnx,SRC_KAGGLE_NOTEBOOK_OCTAVIO_6154,public_6154_baseline,true,1913,0.000000,GOLF_20260607_001_public_6154_repro,confirmed_baseline,Restored after GOLF_20260608_006_biohack_super_blend_structural_pass_mix produced bundle_tie without task-level attribution.
task040,E:\kagglegolf\submissions\candidates\GOLF_20260607_001_public_6154_repro\onnx\task040.onnx,SRC_KAGGLE_NOTEBOOK_OCTAVIO_6154,public_6154_baseline,true,4167,0.000000,GOLF_20260607_001_public_6154_repro,confirmed_baseline,Restored after GOLF_20260608_006_biohack_super_blend_structural_pass_mix produced bundle_tie without task-level attribution.
task041,E:\kagglegolf\submissions\candidates\GOLF_20260607_001_public_6154_repro\onnx\task041.onnx,SRC_KAGGLE_NOTEBOOK_OCTAVIO_6154,public_6154_baseline,true,1665,0.000000,GOLF_20260607_001_public_6154_repro,confirmed_baseline,Restored after GOLF_20260608_006_biohack_super_blend_structural_pass_mix produced bundle_tie without task-level attribution.
task042,E:\kagglegolf\submissions\candidates\GOLF_20260607_001_public_6154_repro\onnx\task042.onnx,SRC_KAGGLE_NOTEBOOK_OCTAVIO_6154,public_6154_baseline,true,9668,0.000000,GOLF_20260607_001_public_6154_repro,confirmed_baseline,Restored after GOLF_20260608_006_biohack_super_blend_structural_pass_mix produced bundle_tie without task-level attribution.
task043,E:\kagglegolf\submissions\candidates\GOLF_20260607_001_public_6154_repro\onnx\task043.onnx,SRC_KAGGLE_NOTEBOOK_OCTAVIO_6154,public_6154_baseline,true,1966,0.000000,GOLF_20260607_001_public_6154_repro,confirmed_baseline,Restored after GOLF_20260608_006_biohack_super_blend_structural_pass_mix produced bundle_tie without task-level attribution.
task044,E:\kagglegolf\submissions\candidates\GOLF_20260607_001_public_6154_repro\onnx\task044.onnx,SRC_KAGGLE_NOTEBOOK_OCTAVIO_6154,public_6154_baseline,true,22434,0.000000,GOLF_20260607_001_public_6154_repro,confirmed_baseline,Restored after GOLF_20260608_006_biohack_super_blend_structural_pass_mix produced bundle_tie without task-level attribution.
task045,E:\kagglegolf\submissions\candidates\GOLF_20260607_001_public_6154_repro\onnx\task045.onnx,SRC_KAGGLE_NOTEBOOK_OCTAVIO_6154,public_6154_baseline,true,1438,0.000000,GOLF_20260607_001_public_6154_repro,confirmed_baseline,Restored after GOLF_20260608_006_biohack_super_blend_structural_pass_mix produced bundle_tie without task-level attribution.
task046,E:\kagglegolf\submissions\candidates\GOLF_20260607_001_public_6154_repro\onnx\task046.onnx,SRC_KAGGLE_NOTEBOOK_OCTAVIO_6154,public_6154_baseline,true,8963,0.000000,GOLF_20260607_001_public_6154_repro,confirmed_baseline,Restored after GOLF_20260608_006_biohack_super_blend_structural_pass_mix produced bundle_tie without task-level attribution.
task047,E:\kagglegolf\submissions\candidates\GOLF_20260607_001_public_6154_repro\onnx\task047.onnx,SRC_KAGGLE_NOTEBOOK_OCTAVIO_6154,public_6154_baseline,true,3091,0.000000,GOLF_20260607_001_public_6154_repro,confirmed_baseline,Restored after GOLF_20260608_006_biohack_super_blend_structural_pass_mix produced bundle_tie without task-level attribution.
task048,E:\kagglegolf\submissions\candidates\GOLF_20260607_001_public_6154_repro\onnx\task048.onnx,SRC_KAGGLE_NOTEBOOK_OCTAVIO_6154,public_6154_baseline,true,5695,0.000000,GOLF_20260607_001_public_6154_repro,confirmed_baseline,Restored after GOLF_20260608_006_biohack_super_blend_structural_pass_mix produced bundle_tie without task-level attribution.
task049,E:\kagglegolf\submissions\candidates\GOLF_20260607_001_public_6154_repro\onnx\task049.onnx,SRC_KAGGLE_NOTEBOOK_OCTAVIO_6154,public_6154_baseline,true,3516,0.000000,GOLF_20260607_001_public_6154_repro,confirmed_baseline,Restored after GOLF_20260608_006_biohack_super_blend_structural_pass_mix produced bundle_tie without task-level attribution.
task050,E:\kagglegolf\submissions\candidates\GOLF_20260607_001_public_6154_repro\onnx\task050.onnx,SRC_KAGGLE_NOTEBOOK_OCTAVIO_6154,public_6154_baseline,true,2540,0.000000,GOLF_20260607_001_public_6154_repro,confirmed_baseline,Restored after GOLF_20260608_006_biohack_super_blend_structural_pass_mix produced bundle_tie without task-level attribution.
task051,E:\kagglegolf\submissions\candidates\GOLF_20260607_001_public_6154_repro\onnx\task051.onnx,SRC_KAGGLE_NOTEBOOK_OCTAVIO_6154,public_6154_baseline,true,3365,0.000000,GOLF_20260607_001_public_6154_repro,confirmed_baseline,Restored after GOLF_20260608_006_biohack_super_blend_structural_pass_mix produced bundle_tie without task-level attribution.
task052,E:\kagglegolf\submissions\candidates\GOLF_20260607_001_public_6154_repro\onnx\task052.onnx,SRC_KAGGLE_NOTEBOOK_OCTAVIO_6154,public_6154_baseline,true,1277,0.000000,GOLF_20260607_001_public_6154_repro,confirmed_baseline,Restored after GOLF_20260608_006_biohack_super_blend_structural_pass_mix produced bundle_tie without task-level attribution.
task053,E:\kagglegolf\submissions\candidates\GOLF_20260607_001_public_6154_repro\onnx\task053.onnx,SRC_KAGGLE_NOTEBOOK_OCTAVIO_6154,public_6154_baseline,true,175,0.000000,GOLF_20260607_001_public_6154_repro,confirmed_baseline,Restored after GOLF_20260608_006_biohack_super_blend_structural_pass_mix produced bundle_tie without task-level attribution.
task054,E:\kagglegolf\submissions\candidates\GOLF_20260607_001_public_6154_repro\onnx\task054.onnx,SRC_KAGGLE_NOTEBOOK_OCTAVIO_6154,public_6154_baseline,true,9661,0.000000,GOLF_20260607_001_public_6154_repro,confirmed_baseline,Restored after GOLF_20260608_006_biohack_super_blend_structural_pass_mix produced bundle_tie without task-level attribution.
task055,E:\kagglegolf\submissions\candidates\GOLF_20260607_001_public_6154_repro\onnx\task055.onnx,SRC_KAGGLE_NOTEBOOK_OCTAVIO_6154,public_6154_baseline,true,21458,0.000000,GOLF_20260607_001_public_6154_repro,confirmed_baseline,Restored after GOLF_20260608_006_biohack_super_blend_structural_pass_mix produced bundle_tie without task-level attribution.
task056,E:\kagglegolf\submissions\candidates\GOLF_20260607_001_public_6154_repro\onnx\task056.onnx,SRC_KAGGLE_NOTEBOOK_OCTAVIO_6154,public_6154_baseline,true,1515,0.000000,GOLF_20260607_001_public_6154_repro,confirmed_baseline,Restored after GOLF_20260608_006_biohack_super_blend_structural_pass_mix produced bundle_tie without task-level attribution.
task057,E:\kagglegolf\data\interim\arc_dsl_task057\task057.onnx,SRC_ARC_DSL_GITHUB,single_task_override,true,,0.640000,GOLF_20260609_060_arc_dsl_task057_single_object_hconcat,confirmed_lb_win,Promoted by positive single-task leaderboard attribution.
task058,E:\kagglegolf\submissions\candidates\GOLF_20260607_001_public_6154_repro\onnx\task058.onnx,SRC_KAGGLE_NOTEBOOK_OCTAVIO_6154,public_6154_baseline,true,27439,0.000000,GOLF_20260607_001_public_6154_repro,confirmed_baseline,Restored after GOLF_20260608_006_biohack_super_blend_structural_pass_mix produced bundle_tie without task-level attribution.
task059,E:\kagglegolf\submissions\candidates\GOLF_20260607_001_public_6154_repro\onnx\task059.onnx,SRC_KAGGLE_NOTEBOOK_OCTAVIO_6154,public_6154_baseline,true,12715,0.000000,GOLF_20260607_001_public_6154_repro,confirmed_baseline,Restored after GOLF_20260608_006_biohack_super_blend_structural_pass_mix produced bundle_tie without task-level attribution.
task060,E:\kagglegolf\submissions\candidates\GOLF_20260607_001_public_6154_repro\onnx\task060.onnx,SRC_KAGGLE_NOTEBOOK_OCTAVIO_6154,public_6154_baseline,true,3039,0.000000,GOLF_20260607_001_public_6154_repro,confirmed_baseline,Restored after GOLF_20260608_006_biohack_super_blend_structural_pass_mix produced bundle_tie without task-level attribution.
task061,E:\kagglegolf\submissions\candidates\GOLF_20260607_001_public_6154_repro\onnx\task061.onnx,SRC_KAGGLE_NOTEBOOK_OCTAVIO_6154,public_6154_baseline,true,17030,0.000000,GOLF_20260607_001_public_6154_repro,confirmed_baseline,Restored after GOLF_20260608_006_biohack_super_blend_structural_pass_mix produced bundle_tie without task-level attribution.
task062,E:\kagglegolf\submissions\candidates\GOLF_20260607_001_public_6154_repro\onnx\task062.onnx,SRC_KAGGLE_NOTEBOOK_OCTAVIO_6154,public_6154_baseline,true,22124,0.000000,GOLF_20260607_001_public_6154_repro,confirmed_baseline,Restored after GOLF_20260608_006_biohack_super_blend_structural_pass_mix produced bundle_tie without task-level attribution.
task063,E:\kagglegolf\submissions\candidates\GOLF_20260607_001_public_6154_repro\onnx\task063.onnx,SRC_KAGGLE_NOTEBOOK_OCTAVIO_6154,public_6154_baseline,true,3709,0.000000,GOLF_20260607_001_public_6154_repro,confirmed_baseline,Restored after GOLF_20260608_006_biohack_super_blend_structural_pass_mix produced bundle_tie without task-level attribution.
task064,E:\kagglegolf\submissions\candidates\GOLF_20260607_001_public_6154_repro\onnx\task064.onnx,SRC_KAGGLE_NOTEBOOK_OCTAVIO_6154,public_6154_baseline,true,7151,0.000000,GOLF_20260607_001_public_6154_repro,confirmed_baseline,Restored after GOLF_20260608_006_biohack_super_blend_structural_pass_mix produced bundle_tie without task-level attribution.
task065,E:\kagglegolf\submissions\candidates\GOLF_20260607_001_public_6154_repro\onnx\task065.onnx,SRC_KAGGLE_NOTEBOOK_OCTAVIO_6154,public_6154_baseline,true,2705,0.000000,GOLF_20260607_001_public_6154_repro,confirmed_baseline,Restored after GOLF_20260608_006_biohack_super_blend_structural_pass_mix produced bundle_tie without task-level attribution.
task066,E:\kagglegolf\submissions\candidates\GOLF_20260607_001_public_6154_repro\onnx\task066.onnx,SRC_KAGGLE_NOTEBOOK_OCTAVIO_6154,public_6154_baseline,true,170467,0.000000,GOLF_20260607_001_public_6154_repro,confirmed_baseline,Restored after GOLF_20260608_006_biohack_super_blend_structural_pass_mix produced bundle_tie without task-level attribution.
task067,E:\kagglegolf\task_bank\tasks\task067\task067.onnx,SRC_ARC_DSL_GITHUB,single_task_override,true,,0.460000,GOLF_20260609_071_arc_dsl_task067_first_hsplit,confirmed_lb_win,Promoted by positive single-task leaderboard attribution.
task068,E:\kagglegolf\submissions\candidates\GOLF_20260607_001_public_6154_repro\onnx\task068.onnx,SRC_KAGGLE_NOTEBOOK_OCTAVIO_6154,public_6154_baseline,true,2335,0.000000,GOLF_20260607_001_public_6154_repro,confirmed_baseline,Restored after GOLF_20260608_006_biohack_super_blend_structural_pass_mix produced bundle_tie without task-level attribution.
task069,E:\kagglegolf\submissions\candidates\GOLF_20260607_001_public_6154_repro\onnx\task069.onnx,SRC_KAGGLE_NOTEBOOK_OCTAVIO_6154,public_6154_baseline,true,32330,0.000000,GOLF_20260607_001_public_6154_repro,confirmed_baseline,Restored after GOLF_20260608_006_biohack_super_blend_structural_pass_mix produced bundle_tie without task-level attribution.
task070,E:\kagglegolf\data\interim\arc_dsl_compiled\task070.onnx,SRC_ARC_DSL_GITHUB,single_task_override,true,,2.010000,GOLF_20260609_050_arc_dsl_task070_bbox_fill,confirmed_lb_win,Promoted by positive single-task leaderboard attribution.
task071,E:\kagglegolf\submissions\candidates\GOLF_20260607_001_public_6154_repro\onnx\task071.onnx,SRC_KAGGLE_NOTEBOOK_OCTAVIO_6154,public_6154_baseline,true,12082,0.000000,GOLF_20260607_001_public_6154_repro,confirmed_baseline,Restored after GOLF_20260608_006_biohack_super_blend_structural_pass_mix produced bundle_tie without task-level attribution.
task072,E:\kagglegolf\submissions\candidates\GOLF_20260607_001_public_6154_repro\onnx\task072.onnx,SRC_KAGGLE_NOTEBOOK_OCTAVIO_6154,public_6154_baseline,true,1625,0.000000,GOLF_20260607_001_public_6154_repro,confirmed_baseline,Restored after GOLF_20260608_006_biohack_super_blend_structural_pass_mix produced bundle_tie without task-level attribution.
task073,E:\kagglegolf\submissions\candidates\GOLF_20260607_001_public_6154_repro\onnx\task073.onnx,SRC_KAGGLE_NOTEBOOK_OCTAVIO_6154,public_6154_baseline,true,3825,0.000000,GOLF_20260607_001_public_6154_repro,confirmed_baseline,Restored after GOLF_20260608_006_biohack_super_blend_structural_pass_mix produced bundle_tie without task-level attribution.
task074,E:\kagglegolf\submissions\candidates\GOLF_20260607_001_public_6154_repro\onnx\task074.onnx,SRC_KAGGLE_NOTEBOOK_OCTAVIO_6154,public_6154_baseline,true,1824,0.000000,GOLF_20260607_001_public_6154_repro,confirmed_baseline,Restored after GOLF_20260608_006_biohack_super_blend_structural_pass_mix produced bundle_tie without task-level attribution.
task075,E:\kagglegolf\submissions\candidates\GOLF_20260607_001_public_6154_repro\onnx\task075.onnx,SRC_KAGGLE_NOTEBOOK_OCTAVIO_6154,public_6154_baseline,true,7736,0.000000,GOLF_20260607_001_public_6154_repro,confirmed_baseline,Restored after GOLF_20260608_006_biohack_super_blend_structural_pass_mix produced bundle_tie without task-level attribution.
task076,E:\kagglegolf\submissions\candidates\GOLF_20260607_001_public_6154_repro\onnx\task076.onnx,SRC_KAGGLE_NOTEBOOK_OCTAVIO_6154,public_6154_baseline,true,64473,0.000000,GOLF_20260607_001_public_6154_repro,confirmed_baseline,Restored after GOLF_20260608_006_biohack_super_blend_structural_pass_mix produced bundle_tie without task-level attribution.
task077,E:\kagglegolf\submissions\candidates\GOLF_20260607_001_public_6154_repro\onnx\task077.onnx,SRC_KAGGLE_NOTEBOOK_OCTAVIO_6154,public_6154_baseline,true,9812,0.000000,GOLF_20260607_001_public_6154_repro,confirmed_baseline,Restored after GOLF_20260608_006_biohack_super_blend_structural_pass_mix produced bundle_tie without task-level attribution.
task078,E:\kagglegolf\submissions\candidates\GOLF_20260607_001_public_6154_repro\onnx\task078.onnx,SRC_KAGGLE_NOTEBOOK_OCTAVIO_6154,public_6154_baseline,true,2588,0.000000,GOLF_20260607_001_public_6154_repro,confirmed_baseline,Restored after GOLF_20260608_006_biohack_super_blend_structural_pass_mix produced bundle_tie without task-level attribution.
task079,E:\kagglegolf\submissions\candidates\GOLF_20260607_001_public_6154_repro\onnx\task079.onnx,SRC_KAGGLE_NOTEBOOK_OCTAVIO_6154,public_6154_baseline,true,2695,0.000000,GOLF_20260607_001_public_6154_repro,confirmed_baseline,Restored after GOLF_20260608_006_biohack_super_blend_structural_pass_mix produced bundle_tie without task-level attribution.
