path,output_path,node_count_before,node_count_after,initializer_count_before,initializer_count_after,parameter_count_before,parameter_count_after,removed_unused_initializers,deduplicated_initializers,scalar_compressed_initializers,saved_parameters,changed,status,error
E:\kagglegolf\submissions\candidates\GOLF_20260608_025_kojimar_6272_full_replace\onnx\task073.onnx,E:\kagglegolf\data\interim\onnx_surgery\GOLF_20260608_029_seddik_surgery_6272\task073.onnx,1,1,2,2,910,910,0,0,0,0,False,unchanged,
E:\kagglegolf\submissions\candidates\GOLF_20260608_025_kojimar_6272_full_replace\onnx\task074.onnx,E:\kagglegolf\data\interim\onnx_surgery\GOLF_20260608_029_seddik_surgery_6272\task074.onnx,18,18,13,13,45,45,0,0,0,0,False,unchanged,
E:\kagglegolf\submissions\candidates\GOLF_20260608_025_kojimar_6272_full_replace\onnx\task075.onnx,E:\kagglegolf\data\interim\onnx_surgery\GOLF_20260608_029_seddik_surgery_6272\task075.onnx,57,57,30,30,57,57,0,0,0,0,False,unchanged,
E:\kagglegolf\submissions\candidates\GOLF_20260608_025_kojimar_6272_full_replace\onnx\task076.onnx,E:\kagglegolf\data\interim\onnx_surgery\GOLF_20260608_029_seddik_surgery_6272\task076.onnx,377,377,32,32,339,339,0,0,0,0,False,unchanged,
E:\kagglegolf\submissions\candidates\GOLF_20260608_025_kojimar_6272_full_replace\onnx\task077.onnx,E:\kagglegolf\data\interim\onnx_surgery\GOLF_20260608_029_seddik_surgery_6272\task077.onnx,68,68,20,20,1794,1794,0,0,0,0,False,unchanged,
E:\kagglegolf\submissions\candidates\GOLF_20260608_025_kojimar_6272_full_replace\onnx\task078.onnx,E:\kagglegolf\data\interim\onnx_surgery\GOLF_20260608_029_seddik_surgery_6272\task078.onnx,25,25,11,11,36,36,0,0,0,0,False,unchanged,
E:\kagglegolf\submissions\candidates\GOLF_20260608_025_kojimar_6272_full_replace\onnx\task079.onnx,E:\kagglegolf\data\interim\onnx_surgery\GOLF_20260608_029_seddik_surgery_6272\task079.onnx,20,20,7,7,245,245,0,0,0,0,False,unchanged,
E:\kagglegolf\submissions\candidates\GOLF_20260608_025_kojimar_6272_full_replace\onnx\task080.onnx,E:\kagglegolf\data\interim\onnx_surgery\GOLF_20260608_029_seddik_surgery_6272\task080.onnx,123,123,44,35,244,217,0,9,0,27,True,rewritten,
E:\kagglegolf\submissions\candidates\GOLF_20260608_025_kojimar_6272_full_replace\onnx\task081.onnx,E:\kagglegolf\data\interim\onnx_surgery\GOLF_20260608_029_seddik_surgery_6272\task081.onnx,35,35,17,17,109,109,0,0,0,0,False,unchanged,
E:\kagglegolf\submissions\candidates\GOLF_20260608_025_kojimar_6272_full_replace\onnx\task082.onnx,E:\kagglegolf\data\interim\onnx_surgery\GOLF_20260608_029_seddik_surgery_6272\task082.onnx,10,10,8,8,56,56,0,0,0,0,False,unchanged,
E:\kagglegolf\submissions\candidates\GOLF_20260608_025_kojimar_6272_full_replace\onnx\task083.onnx,E:\kagglegolf\data\interim\onnx_surgery\GOLF_20260608_029_seddik_surgery_6272\task083.onnx,1,1,1,1,1800,1800,0,0,0,0,False,unchanged,
