task,source,status,before_cost,after_cost,before_points,after_points,delta_points,changed,reverted,prune_saved,dedup_saved,scalar_saved,axis_saved,const_axis_saved,identity_count,identity_rewired,n_pass,n_fail,error
task290.onnx,override,ok,11708,11708,15.63197235,15.63197235,0.00000000,False,False,0,0,0,0,0,0,0,266,0,
task291.onnx,base,ok,4327,4327,16.62737026,16.62737026,0.00000000,False,False,0,0,0,0,0,0,0,265,0,
task292.onnx,override,ok,6305,6305,16.25090175,16.25090175,0.00000000,False,False,0,0,0,0,0,0,0,28,0,
task293.onnx,override,ok,24771,23931,14.88257111,14.91707003,0.03449892,True,False,0,0,0,420,0,0,0,267,0,
task294.onnx,base,ok,910,910,18.18655540,18.18655540,0.00000000,False,False,0,0,0,0,0,0,0,265,0,
task295.onnx,override,ok,12190,12190,15.59162878,15.59162878,0.00000000,False,False,0,0,0,0,0,0,0,268,0,
task296.onnx,override,ok,4107,4107,16.67955189,16.67955189,0.00000000,False,False,0,0,0,0,0,0,0,268,0,
task297.onnx,override,ok,9171,9171,15.87619839,15.87619839,0.00000000,False,False,0,0,0,0,0,0,0,265,0,
task298.onnx,override,ok,14948,14948,15.38766721,15.38766721,0.00000000,False,False,0,0,0,0,0,0,0,267,0,
task299.onnx,override,ok,1718,1718,17.55108390,17.55108390,0.00000000,False,False,0,0,0,0,0,0,0,21,0,
task300.onnx,override,ok,77546,77546,13.74137341,13.74137341,0.00000000,False,False,0,0,0,0,0,0,0,267,0,
task301.onnx,override,ok,64988,61508,13.91804208,13.97307747,0.05503539,True,False,0,0,0,1740,0,0,0,266,0,
task302.onnx,override,ok,7796,7796,16.03863394,16.03863394,0.00000000,False,False,0,0,0,0,0,0,0,266,0,
task303.onnx,base,ok,80710,80710,13.70138224,13.70138224,0.00000000,False,False,0,0,0,0,0,0,0,265,0,
task304.onnx,override,ok,10848,10848,15.70826399,15.70826399,0.00000000,False,False,0,0,0,0,0,0,0,266,0,
task305.onnx,base,ok,3952,3952,16.71802294,16.71802294,0.00000000,False,False,0,0,0,0,0,0,0,266,0,
task306.onnx,override,ok,64442,64442,13.92647913,13.92647913,0.00000000,False,False,0,0,0,0,0,0,0,265,0,
task307.onnx,base,ok,1800,1800,17.50445806,17.50445806,0.00000000,False,False,0,0,0,0,0,0,0,266,0,
task308.onnx,override,ok,21799,21799,15.01038062,15.01038062,0.00000000,False,False,0,0,0,0,0,0,0,266,0,
task309.onnx,base,ok,10,10,22.69741491,22.69741491,0.00000000,False,False,0,0,0,0,0,0,0,265,0,
task310.onnx,override,ok,25739,25739,14.84423737,14.84423737,0.00000000,False,False,0,0,0,0,0,0,0,266,0,
task311.onnx,base,ok,30,30,21.59880262,21.59880262,0.00000000,False,False,0,0,0,0,0,0,0,266,0,
task312.onnx,base,ok,9979,9979,15.79176184,15.79176184,0.00000000,False,False,0,0,0,0,0,0,0,265,0,
task313.onnx,override,ok,83572,70522,13.66653619,13.83632000,0.16978382,True,False,0,0,0,4350,0,0,0,266,0,
task314.onnx,override,ok,8594,8594,15.94118044,15.94118044,0.00000000,False,False,0,0,0,0,0,0,0,266,0,
task315.onnx,override,ok,3387,3387,16.87230015,16.87230015,0.00000000,False,False,0,0,0,0,0,0,0,266,0,
task316.onnx,override,ok,3902,3902,16.73075548,16.73075548,0.00000000,False,False,0,0,0,0,0,0,0,266,0,
task317.onnx,base,ok,900,900,18.19760524,18.19760524,0.00000000,False,False,0,0,0,0,0,0,0,265,0,
task318.onnx,override,ok,739,739,18.39470208,18.39470208,0.00000000,False,False,0,0,0,0,0,0,0,267,0,
task319.onnx,override,ok,33507,33507,14.58049035,14.58049035,0.00000000,False,False,0,0,0,0,0,0,0,267,0,
task320.onnx,base,ok,5190,5190,16.44551102,16.44551102,0.00000000,False,False,0,0,0,0,0,0,0,266,0,
task321.onnx,override,ok,5411,5411,16.40381080,16.40381080,0.00000000,False,False,0,0,0,0,0,0,0,267,0,
task322.onnx,override,ok,867,867,18.23496102,18.23496102,0.00000000,False,False,0,0,0,0,0,0,0,266,0,
task323.onnx,override,ok,4532,4532,16.58108138,16.58108138,0.00000000,False,False,0,0,0,0,0,0,0,172,0,
task324.onnx,override,ok,48870,48870,14.20308101,14.20308101,0.00000000,False,False,0,0,0,0,0,0,0,266,0,
task325.onnx,base,ok,43022,43022,14.33053311,14.33053311,0.00000000,False,False,0,0,0,0,0,0,0,266,0,
task326.onnx,override,ok,160,160,19.92482618,19.92482618,0.00000000,False,False,0,0,0,0,0,0,0,266,0,
task327.onnx,override,ok,7538,7538,16.07228783,16.07228783,0.00000000,False,False,0,0,0,0,0,0,0,265,0,
task328.onnx,override,ok,68053,68053,13.87195791,13.87195791,0.00000000,False,False,0,0,0,0,0,0,0,267,0,
task329.onnx,override,ok,10260,10260,15.76399188,15.76399188,0.00000000,False,False,0,0,0,0,0,0,0,266,0,
task330.onnx,override,ok,17737,17737,15.21659187,15.21659187,0.00000000,False,False,0,0,0,0,0,0,0,266,0,
task331.onnx,base,ok,910,910,18.18655540,18.18655540,0.00000000,False,False,0,0,0,0,0,0,0,265,0,
task332.onnx,override,ok,8990,8116,15.89613187,15.99840730,0.10227543,True,False,0,0,0,97,0,0,0,267,0,
task333.onnx,base,ok,24893,24893,14.87765808,14.87765808,0.00000000,False,False,0,0,0,0,0,0,0,265,0,
task334.onnx,override,ok,609,609,18.58818173,18.58818173,0.00000000,False,False,0,0,0,0,0,0,0,271,0,
task335.onnx,override,ok,46249,46249,14.25820488,14.25820488,0.00000000,False,False,0,0,0,0,0,0,0,266,0,
task336.onnx,base,ok,6036,6036,16.29450318,16.29450318,0.00000000,False,False,0,0,0,0,0,0,0,31,0,
task337.onnx,base,ok,10,10,22.69741491,22.69741491,0.00000000,False,False,0,0,0,0,0,0,0,266,0,
task338.onnx,override,ok,45016,45016,14.28522674,14.28522674,0.00000000,False,False,0,0,0,0,0,0,0,267,0,
task339.onnx,base,ok,980,980,18.11244743,18.11244743,0.00000000,False,False,0,0,0,0,0,0,0,266,0,
task340.onnx,override,ok,70342,70342,13.83887566,13.83887566,0.00000000,False,False,0,0,0,0,0,0,0,266,0,
task341.onnx,override,ok,18865,18865,15.15493637,15.15493637,0.00000000,False,False,0,0,0,0,0,0,0,266,0,
task342.onnx,override,ok,12153,11613,15.59466867,15.64011956,0.04545089,True,False,0,0,0,180,0,0,0,266,0,
task343.onnx,override,ok,28656,28536,14.73688188,14.74107827,0.00419640,True,False,0,0,0,120,0,0,0,266,0,
task344.onnx,base,ok,2510,2510,17.17196197,17.17196197,0.00000000,False,False,0,0,0,0,0,0,0,266,0,
task345.onnx,override,ok,11716,11716,15.63128929,15.63128929,0.00000000,False,False,0,0,0,0,0,0,0,264,0,
task346.onnx,override,ok,9092,9092,15.88484982,15.88484982,0.00000000,False,False,0,0,0,0,0,0,0,267,0,
task347.onnx,override,ok,1587,1587,17.63039928,17.63039928,0.00000000,False,False,0,0,0,0,0,0,0,269,0,
task348.onnx,override,ok,7207,7207,16.11719195,16.11719195,0.00000000,False,False,0,0,0,0,0,0,0,265,0,
task349.onnx,override,ok,44079,44079,14.30626124,14.30626124,0.00000000,False,False,0,0,0,0,0,0,0,267,0,
task350.onnx,override,ok,19830,19830,15.10504878,15.10504878,0.00000000,False,False,0,0,0,0,0,0,0,267,0,
task351.onnx,base,ok,35154,35154,14.53250631,14.53250631,0.00000000,False,False,0,0,0,0,0,0,0,265,0,
task352.onnx,base,ok,6626,6626,16.20124342,16.20124342,0.00000000,False,False,0,0,0,0,0,0,0,266,0,
task353.onnx,base,ok,5411,5411,16.40381080,16.40381080,0.00000000,False,False,0,0,0,0,0,0,0,271,0,
task354.onnx,override,ok,17007,17007,15.25861970,15.25861970,0.00000000,False,False,0,0,0,0,0,0,0,266,0,
task355.onnx,override,ok,11795,11795,15.62456901,15.62456901,0.00000000,False,False,0,0,0,0,0,0,0,267,0,
task356.onnx,override,ok,5001,5001,16.48260683,16.48260683,0.00000000,False,False,0,0,0,0,0,0,0,266,0,
task357.onnx,override,ok,6581,6572,16.20805801,16.20942652,0.00136851,True,False,0,0,9,0,0,0,0,13,0,
task358.onnx,override,ok,113999,113921,13.35605504,13.35673950,0.00068445,True,False,0,0,78,0,0,0,0,265,0,
task359.onnx,override,ok,42313,42313,14.34715035,14.34715035,0.00000000,False,False,0,0,0,0,0,0,0,266,0,
task360.onnx,override,ok,11146,11146,15.68116403,15.68116403,0.00000000,False,False,0,0,0,0,0,0,0,266,0,
task361.onnx,override,ok,15916,15916,15.32491983,15.32491983,0.00000000,False,False,0,0,0,0,0,0,0,266,0,
task362.onnx,override,ok,11939,11939,15.61243437,15.61243437,0.00000000,False,False,0,0,0,0,0,0,0,267,0,
task363.onnx,override,ok,88892,88892,13.60482257,13.60482257,0.00000000,False,False,0,0,0,0,0,0,0,265,0,
task364.onnx,override,ok,77859,77859,13.73734522,13.73734522,0.00000000,False,False,0,0,0,0,0,0,0,266,0,
task365.onnx,override,ok,58814,58814,14.01786480,14.01786480,0.00000000,False,False,0,0,0,0,0,0,0,266,0,
task366.onnx,override,ok,836880,836880,11.36256403,11.36256403,0.00000000,False,False,0,0,0,0,0,0,0,255,0,
task367.onnx,override,ok,143603,141755,13.12519217,13.13814451,0.01295233,True,False,0,0,0,1848,0,0,0,266,0,
task368.onnx,override,ok,32339,32339,14.61597079,14.61597079,0.00000000,False,False,0,0,0,0,0,0,0,265,0,
task369.onnx,override,ok,7530,7530,16.07334968,16.07334968,0.00000000,False,False,0,0,0,0,0,0,0,265,0,
task370.onnx,override,ok,108282,108282,13.40750579,13.40750579,0.00000000,False,False,0,0,0,0,0,0,0,266,0,
task371.onnx,override,ok,13229,13229,15.50983333,15.50983333,0.00000000,False,False,0,0,0,0,0,0,0,266,0,
task372.onnx,override,ok,7880,7880,16.02791682,16.02791682,0.00000000,False,False,0,0,0,0,0,0,0,266,0,
task373.onnx,override,ok,524,524,18.73850832,18.73850832,0.00000000,False,False,0,0,0,0,0,0,0,75,0,
task374.onnx,override,ok,13342,13342,15.50132777,15.50132777,0.00000000,False,False,0,0,0,0,0,0,0,267,0,
task375.onnx,base,ok,15172,15172,15.37279310,15.37279310,0.00000000,False,False,0,0,0,0,0,0,0,58,0,
task376.onnx,override,ok,23412,23412,14.93899601,14.93899601,0.00000000,False,False,0,0,0,0,0,0,0,39,0,
task377.onnx,override,ok,61924,61924,13.96633689,13.96633689,0.00000000,False,False,0,0,0,0,0,0,0,266,0,
task378.onnx,override,ok,39008,39008,14.42847797,14.42847797,0.00000000,False,False,0,0,0,0,0,0,0,267,0,
task379.onnx,override,ok,71699,71699,13.81976792,13.81976792,0.00000000,False,False,0,0,0,0,0,0,0,266,0,
task380.onnx,override,ok,728,728,18.40969895,18.40969895,0.00000000,False,False,0,0,0,0,0,0,0,267,0,
task381.onnx,override,ok,3530,3530,16.83094685,16.83094685,0.00000000,False,False,0,0,0,0,0,0,0,265,0,
task382.onnx,override,ok,95588,94678,13.53219743,13.54176306,0.00956563,True,False,0,10,0,0,0,1,2,266,0,
task383.onnx,override,ok,128140,127241,13.23912130,13.24616180,0.00704049,True,False,0,0,899,0,0,0,0,266,0,
task384.onnx,override,ok,74722,74722,13.77847016,13.77847016,0.00000000,False,False,0,0,0,0,0,0,0,266,0,
task385.onnx,base,ok,30,30,21.59880262,21.59880262,0.00000000,False,False,0,0,0,0,0,0,0,265,0,
task386.onnx,override,ok,2163,2163,17.32074857,17.32074857,0.00000000,False,False,0,0,0,0,0,0,0,268,0,
task387.onnx,override,ok,63558,63558,13.94029185,13.94029185,0.00000000,False,False,0,0,0,0,0,0,0,266,0,
task388.onnx,override,ok,6468,6468,16.22537778,16.22537778,0.00000000,False,False,0,0,0,0,0,0,0,266,0,
task389.onnx,base,ok,1898,1898,17.45144402,17.45144402,0.00000000,False,False,0,0,0,0,0,0,0,266,0,
task390.onnx,override,ok,24691,24691,14.88580592,14.88580592,0.00000000,False,False,0,0,0,0,0,0,0,266,0,
task391.onnx,base,ok,10021,10021,15.78756183,15.78756183,0.00000000,False,False,0,0,0,0,0,0,0,267,0,
task392.onnx,override,ok,30859,30859,14.66281628,14.66281628,0.00000000,False,False,0,0,0,0,0,0,0,266,0,
task393.onnx,override,ok,459,459,18.87094979,18.87094979,0.00000000,False,False,0,0,0,0,0,0,0,265,0,
task394.onnx,override,ok,4753,4753,16.53346872,16.53346872,0.00000000,False,False,0,0,0,0,0,0,0,266,0,
task395.onnx,override,ok,1667,1667,17.58121912,17.58121912,0.00000000,False,False,0,0,0,0,0,0,0,268,0,
task396.onnx,override,ok,143389,143389,13.12668350,13.12668350,0.00000000,False,False,0,0,0,0,0,0,0,266,0,
task397.onnx,override,ok,21041,21041,15.04577181,15.04577181,0.00000000,False,False,0,0,0,0,0,0,0,266,0,
task398.onnx,override,ok,84295,84295,13.65792217,13.65792217,0.00000000,False,False,0,0,0,0,0,0,0,268,0,
task399.onnx,base,ok,1839,1839,17.48302278,17.48302278,0.00000000,False,False,0,0,0,0,0,0,0,273,0,
task400.onnx,base,ok,35153,35153,14.53253476,14.53253476,0.00000000,False,False,0,0,0,0,0,0,0,266,0,
